,Disk2Angle,DeltaEECable
0,-1.5707963267948966,-2.5971184082067764
1,-1.562069680534925,-2.5958444054327487
2,-1.5533430342749535,-2.5945118490912393
3,-1.544616388014982,-2.5931157804283016
4,-1.5358897417550104,-2.5916513174317406
5,-1.5271630954950388,-2.5901136552422592
6,-1.5184364492350673,-2.5884980664723667
7,-1.5097098029750957,-2.5867999014390946
8,-1.5009831567151242,-2.5850145883148334
9,-1.4922565104551526,-2.5831376332002822
10,-1.483529864195181,-2.5811646201249374
11,-1.4748032179352095,-2.5790912109782926
12,-1.466076571675238,-2.576913145377064
13,-1.4573499254152664,-2.574626240471163
14,-1.4486232791552949,-2.5722263906938445
15,-1.4398966328953233,-2.569709567458573
16,-1.4311699866353518,-2.567071818806876
17,-1.4224433403753802,-2.5643092690106832
18,-1.4137166941154087,-2.561418118131999
19,-1.4049900478554371,-2.558394641544529
20,-1.3962634015954656,-2.555235189418036
21,-1.387536755335494,-2.551936186171129
22,-1.3788101090755225,-2.548494129892864
23,-1.370083462815551,-2.544905591737956
24,-1.3613568165555794,-2.5411672152964906
25,-1.3526301702956078,-2.537275715941468
26,-1.3439035240356363,-2.5332278801566512
27,-1.3351768777756647,-2.529020564846212
28,-1.3264502315156932,-2.524650696628833
29,-1.3177235852557216,-2.520115271118316
30,-1.30899693899575,-2.515411352191915
31,-1.3002702927357785,-2.51053607124879
32,-1.291543646475807,-2.505486626460193
33,-1.2828170002158354,-2.5002602820123125
34,-1.274090353955864,-2.494854367344161
35,-1.2653637076958923,-2.489266276381528
36,-1.2566370614359208,-2.4834934667672117
37,-1.2479104151759493,-2.4775334590911355
38,-1.2391837689159777,-2.471383836118722
39,-1.2304571226560062,-2.4650422420208056
40,-1.2217304763960346,-2.4585063816047517
41,-1.213003830136063,-2.451774019547501
42,-1.2042771838760915,-2.4448429796333535
43,-1.19555053761612,-2.4377111439943757
44,-1.1868238913561484,-2.430376452356243
45,-1.1780972450961769,-2.42283690128968
46,-1.1693705988362053,-2.415090543467647
47,-1.1606439525762338,-2.407135486929228
48,-1.1519173063162622,-2.398969894350324
49,-1.1431906600562907,-2.3905919823226562
50,-1.1344640137963191,-2.3820000206398335
51,-1.1257373675363476,-2.373192331592227
52,-1.117010721276376,-2.364167289270599
53,-1.1082840750164045,-2.3549233188780105
54,-1.099557428756433,-2.345458896052106
55,-1.0908307824964614,-2.3357725461955403
56,-1.0821041362364898,-2.325862843816999
57,-1.0733774899765183,-2.3157284118816537
58,-1.0646508437165467,-2.3053679211715945
59,-1.0559241974565752,-2.294780089656309
60,-1.0471975511966036,-2.2839636818737317
61,-1.038470904936632,-2.272917508320742
62,-1.0297442586766605,-2.2616404248549524
63,-1.021017612416689,-2.250131332106131
64,-1.0122909661567174,-2.23838917489826
65,-1.0035643198967459,-2.226412941682239
66,-0.9948376736367742,-2.2142016639783413
67,-0.9861110273768026,-2.2017544158296953
68,-0.9773843811168309,-2.189070313265761
69,-0.9686577348568592,-2.176148513775935
70,-0.9599310885968876,-2.1629882157939
71,-0.9512044423369159,-2.1495886581915933
72,-0.9424777960769443,-2.13594911978344
73,-0.9337511498169726,-2.1220689188406836
74,-0.9250245035570009,-2.1079474126157995
75,-0.9162978572970293,-2.0935839968759633
76,-0.9075712110370576,-2.0789781054473706
77,-0.898844564777086,-2.0641292097680717
78,-0.8901179185171143,-2.0490368184508356
79,-0.8813912722571426,-2.033700476855475
80,-0.872664625997171,-2.0181197666702366
81,-0.8639379797371993,-2.002294305502099
82,-0.8552113334772277,-1.9862237464764907
83,-0.846484687217256,-1.9699077778453484
84,-0.8377580409572843,-1.9533461226048257
85,-0.8290313946973127,-1.9365385381201077
86,-0.820304748437341,-1.91948481576
87,-0.8115781021773694,-1.9021847805394154
88,-0.8028514559173977,-1.8846382907697314
89,-0.794124809657426,-1.8668452377173408
90,-0.7853981633974544,-1.8488055452701844
91,-0.7766715171374827,-1.8305191696120022
92,-0.7679448708775111,-1.8119860989040095
93,-0.7592182246175394,-1.7932063529741906
94,-0.7504915783575677,-1.7741799830135674
95,-0.7417649320975961,-1.7549070712802688
96,-0.7330382858376244,-1.7353877308098904
97,-0.7243116395776528,-1.7156221051330598
98,-0.7155849933176811,-1.6956103679998225
99,-0.7068583470577094,-1.6753527231103424
100,-0.6981317007977378,-1.6548494038521209
101,-0.6894050545377661,-1.6341006730435765
102,-0.6806784082777945,-1.6131068226839291
103,-0.6719517620178228,-1.5918681737086542
104,-0.6632251157578511,-1.5703850757511137
105,-0.6544984694978795,-1.5486579069099473
106,-0.6457718232379078,-1.5266870735218
107,-0.6370451769779362,-1.504473009940044
108,-0.6283185307179645,-1.4820161783180175
109,-0.6195918844579928,-1.4593170683982053
110,-0.6108652381980212,-1.4363761973058935
111,-0.6021385919380495,-1.413194109348445
112,-0.5934119456780779,-1.3897713758183985
113,-0.5846852994181062,-1.3661085948021547
114,-0.5759586531581345,-1.3422063909928375
115,-0.5672320068981629,-1.318065415507301
116,-0.5585053606381912,-1.2936863457077619
117,-0.5497787143782196,-1.2690698850276791
118,-0.5410520681182479,-1.2442167628010912
119,-0.5323254218582762,-1.219127734096785
120,-0.5235987755983046,-1.1938035795550423
121,-0.5148721293383329,-1.1682451052295413
122,-0.5061454830783613,-1.1424531424312756
123,-0.4974188368183896,-1.1164285475770745
124,-0.48869219055841795,-1.0901722020410105
125,-0.4799655442984463,-1.0636850120087031
126,-0.47123889803847463,-1.0369679083353787
127,-0.46251225177850297,-1.010021846406233
128,-0.4537856055185313,-0.9828478060003687
129,-0.44505895925855965,-0.9554467911566369
130,-0.436332312998588,-0.9278198300430163
131,-0.42760566673861633,-0.8999679748276171
132,-0.41887902047864467,-0.8718923015529417
133,-0.410152374218673,-0.8435939100122702
134,-0.40142572795870135,-0.8150739236276408
135,-0.3926990816987297,-0.7863334893306075
136,-0.38397243543875803,-0.7573737774448225
137,-0.37524578917878637,-0.7281959815706934
138,-0.3665191429188147,-0.6988013184714436
139,-0.35779249665884305,-0.6691910279611305
140,-0.3490658503988714,-0.6393663727942357
141,-0.34033920413889973,-0.6093286385568023
